id,documentType,metadata,content,location,filename,context,content_length
24edf1cd-f3ec-4fb3-88ae-0252306ecce3,mohre-docs,"{'source_url': '', 'title': 'Ministerial Resolution No. (620) of 2023 Regarding the Pilot Phase of the Professional Training Program for Emi', 'is_file': True}","#### The First Party agrees to the following:

- a. Provide a thorough training to the Second Party on all skills necessary for the position of ------- in accordance with the professional requirements of the position.
- b. Provide a professional training environment that contributes to the improvement of the skills and capabilities of the Second Party without exposing him/her to any health risks in any way.
- c. A minimum of one (1) day of weekly leave for the second party can be agreed upon before the training starts.
- d. During an emergency, the Second Party may take emergency leave, or as agreed between the parties.
- e. Provide evaluation and monitoring throughout the term of the Agreement in order for the Second Party to gain the greatest benefit from the training.
- f. Payment of the agreed-upon training remuneration to the Second Party according to the agreement between the parties.
- g. Provide necessary medical treatment for injuries sustained during or as a result of training.
- h. Provide the Second Party with a complementary certificate of completion upon completion of the training. Detailed descriptions of the duties performed by the Second Party and evaluations of its performance must be included in the certificate.",./docs/Ministerial Resolution No. (620) of 2023 Regarding the Pilot Phase of the Professional Training Program for Emi.pdf,Ministerial Resolution No. (620) of 2023 Regarding the Pilot Phase of the Professional Training Program for Emi,,207
c205ff0f-618d-4ab3-9035-d003c9649888,mohre-faq,"{'source_url': 'https://mohre.gov.ae/en/faq.aspx', 'title': 'What are the employment types?', 'is_file': False}","There are several employment types: Full time, Part-time, Temporary Work, Flexible work, Remote work, and Job sharing. Full time means working for one employer for the full daily working hours throughout the working days. Part-time means working for an employer or employers for a specific number of working hours or specific working days. Temporary Work means a work whose nature requires a specific period, or focuses on a specific work and ends with its completion. Flexible work means a work whose hours or working days change according to the volume of work and the economic and operational variables of the employer. The worker may work for the employer at different times according to work conditions and requirements. Remote work means all or part of the work is performed outside the workplace and the communication between the worker and the employer is made online instead of being physically present, whether the work is part-time or full-time. Job sharing means tasks and duties are divided between more than one worker to perform the tasks agreed upon in advance, and it is reflected in the amount of the wage due to each of them so that it is ratio and proportion. Workers will be dealt with according to the part-time rules.",,,,208
c9d6a204-a8d1-4ad5-a02b-20ce566512e0,mohre-faq,"{'source_url': 'https://mohre.gov.ae/en/faq.aspx', 'title': 'What is considered a High Risk Establishment?', 'is_file': False}","A High Risk Establishment is considered to be one that defaults in payment of employees’ wages in establishments employing more than 50 workers, in accordance with the stipulated deadlines and procedures contained in Ministerial Resolution No. (43) of 2022 concerning Wages Protection System. It can also be an establishment where if multiple cases of labor stoppage or collective labor dispute occur during the last (12) months, due to the establishment’s breach of its legal or contractual obligations. Additionally, it is considered high risk if the percentage of labor complaints referred by the Ministry to the judicial authorities reaches (30%) or more of the total number of workers registered in the establishment, due to the establishment’s breach of its legal or contractual obligations. Furthermore, a High Risk Establishment is defined as one where the number of expired work permits exceeds (30%) of the total number of workers registered in the establishment, and the establishment fails to renew it within the stipulated deadline specified by Cabinet Resolution No. 21 of 2020 concerning Service Fees and Administrative Fines at the Ministry of Human Resources & Emiratisation. Finally, an establishment with reports of work stoppage exceeding (30%) of the total number of workers registered in the establishment is classified as high risk.",,,,208
3887e98b-4e66-4808-8b74-c51cd2622144,mohre-faq,"{'source_url': 'https://mohre.gov.ae/en/faq.aspx', 'title': 'What are the cases of termination of the employment contract?', 'is_file': False}","The new labour law and its executive regulations specify a number of cases in which an employment contract may be terminated, including: The written agreement of both parties upon its termination. Expiry of the term specified in the contract, unless it is extended or renewed as per the provisions hereof. Based on the wish of either party, provided that the provisions hereof regarding termination of the employment contract and the notice period agreed upon in the contract are observed. The employer’s death if the subject of the contract is related to its entity. The worker’s death or full permanent inability to work, as proven by a certificate issued by the medical entity. A final judgment issued against the worker by a freedom- restricting penalty for a period of not less than (3) three months. Closing the establishment permanently, in accordance with the legislation in force in the State. The bankruptcy or insolvency of the employer, or any economic or exceptional reasons that prevent the continuation of the project, in accordance with the conditions, rules and procedures specified by the Implementing Regulation and the legislation in force in the State. The worker’s failure to fulfill the conditions for renewing the work permit for any reason beyond the control of the employer.",,,,210
778d0e6b-ae99-48b7-b7a5-13bf6abd25aa,mohre-docs,"{'source_url': '', 'title': 'Ministerial Resolution No. (318) of 2024', 'is_file': True}","## Article (2)

Business entities listed in Article (1) above, and their owners, will be subject to the following administrative sanctions until restrictions are observed and employees' conditions are resolved:

- 1. Suspension of all work permits issued to the establishment
- 2. Administrative fines will be imposed as set forth in Cabinet Resolution No. 21 of 2020, and the establishment will be reclassified as a category three establishment.
- 3. Immediately suspending all Ministry services to the violating establishment, except for the cancellation of a work permit or filing an absconding report, if the absence is proven in accordance with the Ministry's policies.
- 4. The suspension of all sole proprietorships and businesses owned exclusively by the owner of the violating business, while taking into account the unity of the partners, except for the cancellation of a work permit or filing an absconding report.
- 5. Inhibiting non-compliant owners from registering a new establishment in the Ministry's database.
- 6. The prescribed procedures in cases of fictitious Emiratisation will be applied if citizens are registered in these establishments.
- 7. Enforcing administrative and penal sanctions against these establishments in compliance with the provisions of the Federal Decree Law No. 33 of 2021, its executive regulations, and its implementation decisions.",./docs/Ministerial Resolution No. (318) of 2024.pdf,Ministerial Resolution No. (318) of 2024,,210
c7acfef2-9897-4d3c-8d61-1a3f4e888eb9,mohre-docs,"{'source_url': '', 'title': 'Cabinet Resolution No.(97) of 2022 Concerning the Procedures and Controls for Implementing Unemployment Insurance Scheme', 'is_file': True}","### **Payment of Due Insurance Premiums**

- 1. A worker or employee who fails to subscribe to unemployment insurance scheme for a period of three (3) months from the date the premium is due or fails to pay the prescribed insurance premiums may be disqualified from receiving unemployment insurance. The employee will be required to subscribe/resubscribe by purchasing a new insurance policy, effective on the date of purchase. In addition to paying all due amounts resulting from non-subscription, the employee will also be required to pay a fine of 400 dirhams imposed by the Ministry if the employee fails to comply with subscribing to the scheme, and 200 two hundred dirhams in case the insured fails to pay the prescribed insurance premiums for more than (3) three months. These amounts are collected as follows:
- a. Deduction is made from the insured salary account as indicated by the Wages Protection System or any other alternative systems.
- b. Deduction from the end of service gratuity or by using any other alternative system.
- 2. In addition to establishing the necessary deadlines for registering the insured and subscribing to the scheme, the Minister shall establish the necessary controls and procedures to ensure that premiums and fines related to insurance policies are paid.",./docs/Cabinet Resolution No.(97) of 2022 Concerning the Procedures and Controls for Implementing Unemployment Insurance Scheme.pdf,Cabinet Resolution No.(97) of 2022 Concerning the Procedures and Controls for Implementing Unemployment Insurance Scheme,,211
c79e8624-183b-4608-8f04-66e8b089e090,mohre-docs,"{'source_url': '', 'title': 'Federal Decree-Law No. (33) of 2021 Regarding the Regulation of Employment Relationship and its amendments', 'is_file': True}","### **Procedures for Suspending or Revoking Office Licensing**

If the Office license is suspended or canceled hereunder, the following actions shall be taken:

- 1. The Office shall be notified by the suspension or cancellation decision using the notification methods applicable in the Ministry, along with the reasons for such decision.
- 2. Collection of all fines payable and due by the Office up to the date of cancellation.
- 3. Owners of cancelled licenses will be instructed to settle the conditions of their workers within 15 fifteen days from the date of the license cancellation decision.
- 4. Obligate the office owner to fulfill all his obligations towards workers and business owners throughout the suspension period, and refrain from concluding any new contracts until the reasons for the suspension are rectified and lifted.
- 5. Authorities licensing business activities in the local government (economic departments and municipalities) and departments of residency and foreigners' affairs shall be notified to take their actions according to the suspension or cancellation decision, including the cancellation of any license, permits or authorizations issued to the cancelled Office.
- 6. In all cases, the bank guarantee or security deposit under Article (2) herein will not be reimbursed until all amounts payable by the Office are collected.",./docs/Federal Decree-Law No. (33) of 2021 Regarding the Regulation of Employment Relationship and its amendments.pdf,Federal Decree-Law No. (33) of 2021 Regarding the Regulation of Employment Relationship and its amendments,,211
42ca125d-1eca-4492-8f32-b430fdff09f9,mohre-docs,"{'source_url': '', 'title': 'Ministrial Resoultion No. 604 of 2022', 'is_file': True}","# **Article (9) Fines and collection methods**

- 1. In the event that a worker / employee fails to subscribe to the Unemployment Insurance Scheme after the deadline for subscription specified in Article No.(11) herein has expired, a fine of four hundred dirhams (400) will be imposed unless the deadline is extended.
- 2. In the event that the insured fails to pay the insurance premiums according to the selected payment frequency for a period exceeding three (3) months from the due date, the insurance certificate will be canceled and a penalty of (200) two hundred dirhams will be imposed.
- 3. Fines incurred pursuant to paragraphs (1, 2) of this article must be paid by workers / employees by submitting a request to pay the fine in accordance with the controls and procedures contained in the manual annexed herein.
- 4. Workers/employees who fail to pay their fines for three (3) months from the due date will have the fine amount deducted from their wages through the Wage Protection System, end-of-service gratuity, or any other alternative method deemed acceptable by the Ministry.
- 5. The insured may apply for fine installments or waiver of fines in accordance with the controls and procedures contained in the manual annexed to this decision.",./docs/Ministrial Resoultion No. 604 of 2022.pdf,Ministrial Resoultion No. 604 of 2022,,211
b555d8b0-b1f4-40d1-b4b0-5f94a2519073,mohre-docs,"{'source_url': '', 'title': 'Ministerial Resolution No. (543) of 2022 Regarding Administrative Suspension of an Establishment’s File', 'is_file': True}","### **Having reviewed:**

- The Federal Law No.(1) of 1972 regarding the duties of the Ministers and powers of the Ministers, as amended;
- Federal Decree-Law No. (33) of 2021 endorsing the Regulation of Labor Relations; and its executive regulations Cabinet Resolution No. (1) of 2022 regarding the executive regulation;
- Cabinet Resolution No. (21) of 2020 regarding services fees and administrative fines imposed by the Ministry of Human Resources & Emiratisation, as amended;
- Ministerial Resolution No. (851) of 2001, on ceasing to deal with violating establishments, as amended;
- Ministerial Resolution No. (703) of 2013 on the rules and regulations governing the suspension of an employer's establishments;
- Ministerial Resolution No. (44) of 2022 regarding occupational health and safety and labor accommodation;
- Ministerial Resolution No. (45) of 2022 regarding the formation of the Grievance Committee to consider decisions issued by the Ministry of Human Resources & Emiratization;
- Ministerial Resolution No. (46) of 2022 regarding forms of work permits, job offers and employment contracts
- Ministerial Resolution No. (47) of 2022 regarding the wage protection system as amended;
- Ministerial Resolution No. (279) of 2022 on mechanisms for monitoring Emiratisation rates in the private sector & contributions imposed on non-compliant establishments; and
- Acting in the public interest",./docs/Ministerial Resolution No. (543) of 2022 Regarding Administrative Suspension of an Establishment’s File.pdf,Ministerial Resolution No. (543) of 2022 Regarding Administrative Suspension of an Establishment’s File,,211
e063e4b3-b7bd-4275-9aa7-28f1ca4e7675,mohre-docs,"{'source_url': '', 'title': 'Ministerial Resolution No. (47) of 2022 Regarding The Settlement of Labor Disputes and Complaints Procedures (Amended by Ministerial Resolution No. (782) of 2023 Regulating the Process for Resolving Individual Labour Complaints)', 'is_file': True}","#### **Cancellation of Unexpected Work Abandonment Report**

The Ministry may cancel the **unexpected work abandonment** complaint at the request of one or both parties to the relationship in the following cases:

- 1. If it is proven that seven (7) consecutive days have not passed since the last working day or from the end of the leave or in cases of absence due to legitimate reasons.
- 2. If it is proven that the worker is present at the workplace, or if the worker was on a legally prescribed leave, whether the employer is aware of that or not at the time of registering the complaint.
- 3. With the consent of the employer to restore the labor relationship, provided that the establishment do exist and the employer undertakes to pay the fines due (if any) for not issuing or renewing the work permit.
- 4.
- 5. If the cessation of work is pursuant to an agreement between the worker and the employer to terminate the employment relationship, or if the employer allows the worker to cease work or to search for another job opportunity.

6. If there is a legitimate reason for not reporting to work or any other reason in which the complaint is proven to be invalid.",./docs/Ministerial Resolution No. (47) of 2022 Regarding The Settlement of Labor Disputes and Complaints Procedures (Amended by Ministerial Resolution No. (782) of 2023 Regulating the Process for Resolving Individual Labour Complaints).pdf,Ministerial Resolution No. (47) of 2022 Regarding The Settlement of Labor Disputes and Complaints Procedures (Amended by Ministerial Resolution No. (782) of 2023 Regulating the Process for Resolving Individual Labour Complaints),,211
388eade4-53ca-4ace-9a13-af65cd5868d3,mohre-docs,"{'source_url': '', 'title': 'C1HoursofWork', 'is_file': True}","### Article 8

1. In order to facilitate the enforcement of the provisions of this Convention, every employer shall be required--

(a) to notify by means of the posting of notices in conspicuous places in the works or other suitable place, or by such other method as may be approved by the Government, the hours at which work begins and ends, and where work is carried on by shifts, the hours at which each shift begins and ends; these hours shall be so fixed that the duration of the work shall not exceed the limits prescribed by this Convention, and when so notified they shall not be changed except with such notice and in such manner as may be approved by the Government;

(b) to notify in the same way such rest intervals accorded during the period of work as are not reckoned as part of the working hours;

(c) to keep a record in the form prescribed by law or regulation in each country of all additional hours worked in pursuance of Articles 3 and 6 of this Convention.

2. It shall be made an offence against the law to employ any person outside the hours fixed in accordance with paragraph (a), or during the intervals fixed in accordance with paragraph (b).",./docs/C1HoursofWork.pdf,C1HoursofWork,,213
